frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
347,17.954,6017,5695,18693,18332,322
348,18.006,5638,5713,19643,18326,-75
349,18.058,5711,5598,18678,18362,113
350,18.11,6311,5785,18688,18470,526
351,18.161,6509,5725,18246,18152,784
352,18.213,6626,5791,19272,18326,835
353,18.265,6447,5659,19185,18566,788
354,18.317,6580,5918,19210,18212,662
355,18.368,6259,5755,18895,18302,504
356,18.42,6542,5701,19004,18026,841
357,18.472,6817,5713,18959,18692,1104
358,18.524,7306,5592,19263,18506,1714
359,18.575,6898,5731,19266,18422,1167
360,18.627,6390,5725,17335,18722,665
361,18.679,6502,5665,18718,18686,837
362,18.731,7738,5804,18819,18242,1934
363,18.782,6797,5653,18130,18596,1144
364,18.834,7161,5930,18062,18356,1231
365,18.886,7672,5810,19629,18752,1862
366,18.938,7236,5810,17862,18518,1426
367,18.989,6837,5816,20026,18218,1021
368,19.041,6684,5628,18542,18584,1056
369,19.093,6377,5804,20298,18314,573
370,19.145,6807,5695,19671,18386,1112
371,19.196,6742,5779,18725,18254,963
372,19.248,6735,5822,18679,18464,913
373,19.3,6460,5810,18195,18428,650
374,19.352,7129,5840,18193,18146,1289
375,19.403,6440,5991,18689,18584,449
376,19.455,6521,5816,18547,18530,705
377,19.507,7066,5918,18387,18338,1148
378,19.558,6656,5858,18506,18278,798
379,19.61,5456,5731,17925,18428,-275
380,19.662,5824,5767,19276,18116,57
381,19.714,5867,5459,18426,18326,408
382,19.765,6588,5749,18920,18380,839
383,19.817,6161,5737,19168,18608,424
384,19.869,5993,5791,19529,18872,202
385,19.921,6416,5743,19432,18368,673
386,19.972,5342,5810,18181,18608,-468
387,20.024,6091,5894,19098,18110,197
388,20.076,6287,5804,18249,18290,483
389,20.128,7051,5822,19182,18794,1229
390,20.179,6225,5737,17594,18548,488
391,20.231,7068,5961,17865,18560,1107
392,20.283,6975,6009,18251,18716,966
393,20.335,7346,5900,18344,18680,1446
394,20.386,7500,6021,17685,18218,1479
