frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
345,17.851,7706,8054,31944,32309,-348
346,17.903,8627,8115,32630,32704,512
347,17.954,7871,8048,35505,32534,-177
348,18.006,8240,8115,32816,32662,125
349,18.058,7976,8224,31552,31720,-248
350,18.11,7857,8249,33107,32248,-392
351,18.161,8250,8224,32726,32540,26
352,18.213,7460,8298,32618,32340,-838
353,18.265,7983,8279,31600,32297,-296
354,18.317,8441,8164,31266,32260,277
355,18.368,8091,8023,32815,32248,68
356,18.42,9064,8121,31803,32388,943
357,18.472,7692,7999,31682,32333,-307
358,18.524,8766,7908,32822,32449,858
359,18.575,7677,8097,32713,32151,-420
360,18.627,8592,8176,33472,32473,416
361,18.679,8105,8036,33878,32242,69
362,18.731,7607,7963,31526,32200,-356
363,18.782,8118,7932,32607,32169,186
364,18.834,8331,8023,33246,32485,308
365,18.886,7454,7975,31883,32759,-521
366,18.938,8277,8103,32664,32157,174
367,18.989,8353,8121,32448,32230,232
368,19.041,8266,8170,32983,32358,96
369,19.093,7546,8060,33763,32248,-514
370,19.145,8838,8023,32614,32437,815
371,19.196,8440,8170,31625,32801,270
372,19.248,8368,8042,32811,32759,326
373,19.3,8788,8285,33503,32163,503
374,19.352,8820,8176,33026,32704,644
375,19.403,8485,8133,32241,32352,352
376,19.455,8316,8133,32884,32607,183
377,19.507,7459,8249,31685,32637,-790
378,19.558,8861,8188,34354,32601,673
379,19.61,7870,8017,33735,32710,-147
380,19.662,7577,8023,33794,32036,-446
381,19.714,7230,8011,32219,32400,-781
382,19.765,7734,8164,32347,32540,-430
383,19.817,7784,8298,33126,32856,-514
384,19.869,8081,8218,33656,32431,-137
385,19.921,7733,8139,34280,32668,-406
386,19.972,7972,7963,34101,32540,9
387,20.024,7602,8054,33728,32522,-452
388,20.076,7824,8157,32810,32285,-333
389,20.128,7634,8078,31743,32419,-444
390,20.179,7991,7956,34711,32643,35
391,20.231,8303,7871,31115,32200,432
392,20.283,8144,8164,31918,32461,-20
393,20.335,7818,8011,31861,32267,-193
394,20.386,8224,8097,31365,32656,127
395,20.438,8004,8285,33376,32109,-281
396,20.49,8270,7999,32972,32352,271
397,20.542,8179,8060,32006,31914,119
398,20.593,8286,8060,32078,32558,226
399,20.645,7695,8060,32368,32637,-365
400,20.697,8349,7969,32456,32273,380
401,20.749,7514,8066,33291,32674,-552
402,20.8,7841,8103,32489,32443,-262
403,20.852,9332,8139,32696,32406,1193
404,20.904,9025,8255,31900,32583,770
405,20.956,9054,8462,34747,32625,592
406,21.007,8035,8060,31981,32370,-25
407,21.059,8439,7908,31562,32765,531
408,21.111,7563,8072,32516,32218,-509
409,21.162,8123,8212,33554,32747,-89
410,21.214,9356,8182,33183,32795,1174
411,21.266,9173,8218,33694,32340,955
412,21.318,8607,8255,32196,32619,352
413,21.369,8983,8651,32626,32935,332
414,21.421,9174,8310,33525,32564,864
415,21.473,9980,8535,32955,32333,1445
416,21.525,10154,8273,32047,32279,1881
417,21.576,10068,8419,33284,32656,1649
418,21.628,9420,8499,33109,32181,921
419,21.68,8814,8389,33174,32279,425
420,21.732,9624,8133,34587,32686,1491
421,21.783,9416,8352,32347,32297,1064
422,21.835,8320,8030,34411,32856,290
423,21.887,8737,8164,33213,32358,573
424,21.939,8931,8292,32391,32297,639
425,21.99,9775,8097,34267,32352,1678
426,22.042,10284,8328,32184,32060,1956
427,22.094,8772,8249,32363,33081,523
428,22.146,8331,8200,33024,32455,131
429,22.197,7850,8298,32454,32449,-448
430,22.249,8551,8170,33169,32388,381
431,22.301,8223,8115,32616,32589,108
432,22.353,8711,8060,34477,32078,651
433,22.404,7466,8036,32766,32419,-570
434,22.456,7865,8237,34466,32789,-372
435,22.508,8807,7963,31788,32498,844
436,22.56,7964,8212,33175,32570,-248
437,22.611,8309,8133,33918,32577,176
438,22.663,8009,8011,32752,32984,-2
439,22.715,8656,8139,32316,32917,517
440,22.766,8559,7938,31231,32370,621
441,22.818,7846,8121,32271,32601,-275
442,22.87,8033,8200,31819,32017,-167
443,22.922,8012,8042,32479,32899,-30
444,22.973,7928,8023,31922,32200,-95
445,23.025,8345,7926,32888,32419,419
446,23.077,8367,8054,32880,32273,313
447,23.129,7515,8188,33483,32437,-673
448,23.18,8279,8164,31195,32096,115
449,23.232,7953,7969,32509,32321,-16
450,23.284,7671,8072,34043,32759,-401
451,23.336,8333,7908,33093,32522,425
452,23.387,8481,8084,32776,33014,397
453,23.439,8795,8249,32418,32285,546
454,23.491,8038,8054,32327,32412,-16
455,23.543,8420,8224,32464,32577,196
456,23.594,7940,8090,32342,32297,-150
457,23.646,8256,8121,33016,32352,135
458,23.698,9169,8023,32532,31914,1146
459,23.75,8366,8157,32968,32455,209
460,23.801,7676,7926,33093,32498,-250
461,23.853,7499,8145,32093,32832,-646
462,23.905,7827,8346,31737,32631,-519
463,23.957,8511,8249,33832,32200,262
464,24.008,8009,7822,31628,32315,187
465,24.06,7699,8090,33175,32498,-391
466,24.112,8513,7969,33080,32868,544
467,24.164,7983,7999,33427,32419,-16
468,24.215,8562,7822,32280,32479,740
469,24.267,8320,8048,33289,32570,272
470,24.319,8439,8048,32689,32631,391
471,24.37,8834,8157,33182,32649,677
472,24.422,8566,7938,33519,33020,628
473,24.474,7984,8109,34088,32595,-125
474,24.526,8129,8084,33756,32127,45
475,24.577,8397,8292,33883,31865,105
476,24.629,8534,8060,31549,32327,474
477,24.681,8241,8157,35402,32163,84
478,24.733,8666,8255,32114,32333,411
479,24.784,8211,8237,32531,32534,-26
480,24.836,7696,8322,33569,31975,-626
481,24.888,8216,8145,34282,32376,71
482,24.94,8052,7999,33185,32279,53
483,24.991,7608,8164,34304,32400,-556
484,25.043,8215,8237,32924,32844,-22
485,25.095,8310,7920,32717,32431,390
486,25.147,8187,8194,32474,32467,-7
487,25.198,7994,8127,32981,32534,-133
488,25.25,7880,8066,32039,32364,-186
489,25.302,8732,8005,33175,32643,727
490,25.354,8076,8194,33607,32595,-118
491,25.405,7299,8273,34257,32984,-974
492,25.457,8436,8151,31721,32577,285
493,25.509,8709,7902,33054,32583,807
494,25.561,8321,8084,33854,32795,237
495,25.612,8305,8097,31539,32321,208
496,25.664,7862,7975,31637,32260,-113
497,25.716,8353,8023,33452,32637,330
498,25.768,7654,8084,32394,32552,-430
499,25.819,7721,8060,31750,33002,-339
500,25.871,8409,8432,33404,32625,-23
501,25.923,8554,8413,33236,32789,141
502,25.974,8814,8090,34076,32601,724
503,26.026,8321,7932,33094,32996,389
504,26.078,8217,8011,31680,32412,206
505,26.13,7564,8078,33056,32589,-514
506,26.181,8098,8273,32453,32583,-175
507,26.233,8134,8182,31393,32668,-48
508,26.285,8357,8109,31932,32388,248
509,26.337,8499,8157,32867,32297,342
510,26.388,8155,8218,33639,32959,-63
511,26.44,8144,8224,34609,32595,-80
512,26.492,7144,8206,32546,32570,-1062
513,26.544,7327,8157,31442,32893,-830
514,26.595,8245,8157,31565,32984,88
515,26.647,8456,8267,32416,32728,189
516,26.699,7929,8212,33541,32595,-283
517,26.751,6635,7975,32663,32619,-1340
518,26.802,7822,8115,31234,33026,-293
519,26.854,8370,8255,34606,32315,115
520,26.906,8264,7981,33734,32649,283
521,26.958,7643,7969,31310,32558,-326
522,27.009,8199,8218,31867,32880,-19
523,27.061,8580,8310,32564,32619,270
524,27.113,7716,8127,33990,32698,-411
525,27.165,8155,8005,35370,32589,150
526,27.216,8330,8285,32472,33209,45
527,27.268,8126,8121,33867,32412,5
528,27.32,7906,8121,34411,32485,-215
529,27.372,8573,8170,33090,32412,403
530,27.423,8361,8084,31924,32753,277
531,27.475,8567,8401,31767,32546,166
532,27.527,7761,8261,34286,32273,-500
533,27.578,7770,8030,32534,32412,-260
534,27.63,8344,8377,33748,32595,-33
535,27.682,8124,8231,30959,32947,-107
536,27.734,8251,8194,32355,32315,57
537,27.785,8301,8188,32677,33105,113
538,27.837,8290,8279,33648,33142,11
539,27.889,8082,8109,34079,32589,-27
540,27.941,8008,8103,32277,32783,-95
541,27.992,7825,8017,32669,33051,-192
542,28.044,8341,8078,33668,32911,263
543,28.096,8455,8103,32620,32741,352
544,28.148,8116,8042,30346,32449,74
545,28.199,8171,8066,33457,32728,105
546,28.251,8900,8115,32739,32996,785
547,28.303,8600,8139,33496,33069,461
548,28.355,8096,8054,34577,32832,42
549,28.406,8778,8237,33019,32814,541
550,28.458,8245,8365,32532,32151,-120
551,28.51,7796,8243,33936,33105,-447
552,28.562,8894,8157,33450,32917,737
553,28.613,7959,8304,32471,32680,-345
554,28.665,8193,8170,33309,33051,23
555,28.717,8177,7944,34219,32194,233
556,28.769,7450,8042,33675,32613,-592
557,28.82,8367,8054,31691,32996,313
558,28.872,7528,8194,31945,32072,-666
559,28.924,7985,8115,33024,32285,-130
560,28.976,8373,8133,33409,32498,240
561,29.027,7984,8115,30427,32783,-131
562,29.079,7732,8011,34379,33002,-279
563,29.131,7909,8194,33961,32297,-285
564,29.182,7894,8042,33247,32753,-148
565,29.234,8048,8285,32344,32959,-237
566,29.286,8443,8145,31874,32449,298
567,29.338,7553,8145,32543,32558,-592
568,29.389,8009,8109,32399,32096,-100
569,29.441,7918,8072,32879,32741,-154
570,29.493,7522,8145,31833,32814,-623
571,29.545,7640,8218,31836,32923,-578
572,29.596,8125,8413,33125,32795,-288
573,29.648,7952,8316,32854,32923,-364
574,29.7,9402,8438,33706,32479,964
575,29.752,8384,8170,34164,32224,214
576,29.803,8739,8371,33399,32254,368
577,29.855,8665,8493,32428,32577,172
578,29.907,8403,8407,32146,32656,-4
579,29.959,7483,8243,31262,32668,-760
580,30.01,8326,8151,32285,32090,175
581,30.062,9573,8279,32113,32461,1294
582,30.114,7449,8084,34723,32437,-635
583,30.166,7177,8279,34406,32607,-1102
584,30.217,8115,8243,33442,32522,-128
585,30.269,8189,8249,34622,32340,-60
586,30.321,7402,8273,33714,32218,-871
587,30.373,8437,8188,35295,32260,249
588,30.424,8632,8267,33359,32771,365
589,30.476,7973,8188,33901,32491,-215
590,30.528,8597,8157,34093,32406,440
591,30.58,7920,8133,32924,32868,-213
592,30.631,8387,8121,32932,32516,266
593,30.683,8106,8438,32791,32862,-332
594,30.735,7969,8084,33242,32163,-115
595,30.786,7875,8249,34552,32534,-374
596,30.838,7794,8188,33277,32807,-394
597,30.89,8034,8145,33972,32899,-111
598,30.942,8068,8017,32730,32911,51
599,30.993,8667,8164,32430,32972,503
600,31.045,7974,8200,32553,32874,-226
601,31.097,8176,8285,33217,32570,-109
602,31.149,8027,8151,33367,31963,-124
603,31.2,8701,8212,31625,32735,489
604,31.252,7938,8133,34658,33002,-195
605,31.304,7904,8023,33613,32741,-119
606,31.356,8548,8285,32767,32340,263
607,31.407,8259,8218,32192,32224,41
608,31.459,8337,8145,34291,32716,192
609,31.511,7745,8176,33743,32686,-431
610,31.563,8642,8176,33990,32887,466
611,31.614,8151,8072,33153,32637,79
612,31.666,8079,8279,33239,32771,-200
613,31.718,8078,8261,35190,32692,-183
614,31.77,7552,8084,33826,32656,-532
615,31.821,8187,8042,34343,33038,145
616,31.873,7974,8078,32561,32844,-104
617,31.925,8210,8139,32745,32686,71
618,31.977,8646,8036,34108,32753,610
619,32.028,8355,8084,33457,32352,271
620,32.08,7602,8090,32342,32607,-488
621,32.132,7962,8127,31898,33251,-165
622,32.184,7893,8072,31531,32735,-179
623,32.235,8743,8115,33447,32966,628
624,32.287,8177,8042,31619,32260,135
625,32.339,8336,8365,33020,32814,-29
626,32.39,7581,8042,30543,32467,-461
627,32.442,7736,8011,31107,33117,-275
628,32.494,8011,8115,34090,32807,-104
629,32.546,8250,8249,34021,32534,1
630,32.597,8301,8310,33375,32662,-9
631,32.649,7564,8267,33130,33075,-703
632,32.701,8206,8273,33900,32880,-67
633,32.753,7659,8127,33599,33251,-468
634,32.804,7965,8078,32929,32899,-113
635,32.856,7838,8249,33767,32874,-411
636,32.908,7774,8334,33106,32887,-560
637,32.96,7579,8206,33553,32406,-627
638,33.011,8760,8273,32957,32765,487
639,33.063,8733,8279,32744,32686,454
640,33.115,8123,8389,30953,32923,-266
641,33.167,8436,8395,30612,32953,41
642,33.218,7722,8328,31430,32899,-606
643,33.27,8723,8218,33942,32643,505
644,33.322,7450,8090,33193,33032,-640
645,33.374,8162,8078,35212,32795,84
646,33.425,8309,8048,32321,32662,261
647,33.477,8563,8139,31352,32728,424
648,33.529,8199,8139,33837,33045,60
649,33.581,8685,8292,33697,33111,393
650,33.632,7783,8188,34871,32893,-405
651,33.684,8190,8231,30866,33069,-41
652,33.736,8756,8261,31902,32698,495
653,33.788,8983,8157,33752,32771,826
654,33.839,8012,8145,34398,32935,-133
655,33.891,8269,7999,34140,32850,270
656,33.943,7978,8078,33663,32947,-100
657,33.994,8122,8359,33814,33032,-237
658,34.046,7422,8200,32269,32692,-778
659,34.098,8366,8182,32840,33215,184
660,34.15,7828,8017,34225,32346,-189
661,34.201,8318,8194,32420,32771,124
662,34.253,8178,8121,35169,33105,57
663,34.305,8175,8090,35422,33045,85
664,34.357,7846,8188,33145,32984,-342
665,34.408,8309,8127,33039,33269,182
666,34.46,7737,8121,32491,32801,-384
667,34.512,9108,8340,31917,32953,768
668,34.564,9104,8036,34072,32364,1068
669,34.615,8077,8249,33115,33166,-172
670,34.667,8207,8188,34276,32498,19
671,34.719,7888,8298,35071,32868,-410
672,34.771,7985,7975,32771,32844,10
673,34.822,8179,8115,34036,33032,64
674,34.874,7649,8048,33208,32887,-399
